year,title,total,budget,studio
2013,The Hunger Games: Catching Fire,424.339,130,Lions Gate
2013,Iron Man 3,408.569,200,Disney
2013,Frozen,398.939,150,Disney
2013,Despicable Me 2,368.05,76,Universal
2013,Man of Steel,290.65,175,Warner Brothers
2013,Gravity,273.343,100,Warner Brothers
2013,Monsters University,268.385,,Disney
2013,The Hobbit 2,258.206,250,Warner Brothers
2013,Fast & Furious 6,238.287,160,Universal
2013,Oz the Great and Powerful,234.549,200,Disney
2013,Star Trek Into Darkness,228.23,190,Paramount
2013,Thor: The Dark World,204.29,170,Disney
2013,World War Z,202.14,190,Paramount
