year,title,total,budget,studio
1993,Jurassic Park,395.622,63,Universal
1993,Mrs Doubtfire,219.195,,20th Century Fox
1993,The Fugitive,183.753,44,Warner Brothers
1993,The Firm,158.348,42,Paramount
1993,Sleepless in Seattle,126.671,21,TriStar
1993,Indecent Proposal,106.614,38,Paramount
1993,In the Line of Fire,102.3,40,Columbia
1993,The Pelican Brief,100.768,,Warner Brothers
1993,Schindler's List,96.067,25,Universal
1993,Cliffhanger,84.049,65,TriStar
1993,Free Willy,77.7,,Warner Brothers
1993,Philadelphia,77.45,26,Columbia
1993,Groundhog Day,70.91,,Columbia
1993,Grumpy Old Men,70.17,,Warner Brothers
1993,Cool Runnings,68.86,,Disney
1993,Dave,63.27,,Warner Brothers
1993,Rising Sun,63.18,,20th Century Fox
1993,Demolition Man,58.06,,Warner Brothers
1993,Sister Act 2,57.32,,Touchstone
1993,Tombstone,56.51,,Hollywood
1993,The 3 Musketeers,53.9,,Disney
1993,Rookie of the Year,53.62,,20th Century Fox
1993,Beethoven's 2nd,53.35,,Universal
1993,Dennis the Menace,51.27,,Warner Brothers
1993,Sommersby,50.08,,Warner Brothers
1993,Last Action Hero,50.02,60,Columbia
1993,Addams Family 2,48.86,,Paramount
1993,Wayne's World 2,48.2,,Paramount
1993,Malice,46.41,,New Line
1993,Made In America,44.94,,Warner Brothers
1993,The Good Son,44.79,,20th Century Fox
1993,Beverly Hillbillies,44.03,,20th Century Fox
1993,Ninja Turtles 3,42.27,13.5,New Line
1993,Homeward Bound,41.83,,Disney
1993,Falling Down,40.9,,Warner Brothers
1993,The Piano,40.16,7,Miramax
1993,Hocus Pocus,39.52,,Disney
1993,What's Love Got ,39.1,,Touchstone
1993,Hot Shots 2,38.92,,20th Century Fox
1993,Carlito's Way,36.95,,Universal
1993,Alive,36.73,32,Paramount
1993,Son in Law,36.45,,Hollywood
1993,Sliver,36.3,,Paramount
1993,Men in Tights,35.74,,20th Century Fox
1993,Dragon: Bruce Lee,35.11,14,Universal
1993,The Joy Luck Club,32.9,,Hollywood
1993,Hard Target,32.59,,Universal
1993,The Sandlot,32.43,,20th Century Fox
1993,The Age of Innocence,32,34,Columbia
1993,Point of No Return,30.04,,Warner Brothers
1993,Loaded Weapon 1,27.98,13,New Line
1993,Menace II Society,27.9,3.5,New Line
1993,My Life,27.48,,TriStar
1993,Poetic Justice,27.45,14,Columbia
1993,In the Name of the Father,25.01,,Universal
1994,Forrest Gump,329.694,55,Paramount
1994,The Lion King,328.378,79.3,Disney
1994,True Lies,146.282,100,20th Century Fox
1994,The Santa Clause,144.631,22,Disney
1994,The Flintstones,130.513,45,Universal
1994,Dumb & Dumber,125.464,16,New Line
1994,Clear and Present Danger,121.985,65,Paramount
1994,Speed,121.248,28,20th Century Fox
1994,The Mask,119.92,18,New Line
1994,Pulp Fiction,107.9,8,Miramax
1994,Interview with the Vampire,105.27,50,Warner Brothers
1994,Maverick,101.6,,Warner Brothers
1994,The Client,92.12,45,Warner Brothers
1994,Disclosure,83.02,32,Warner Brothers
1994,Star Trek: Generations,75.67,35,Paramount
1994,Ace Ventura,72.22,12,Warner Brothers
1994,Stargate,71.57,55,MGM
1994,Wolf,65.01,70,Columbia
1994,The Specialist,57.36,45,Warner Brothers
1994,Four Weddings ,52.7,6,PolyGram
1994,The Little Rascals,52.13,,Universal
1994,The Naked Gun 3,51.13,30,Paramount
1994,The Crow,50.69,15,Miramax
1994,Natural Born Killers,50.28,50,Warner Brothers
1994,Angels in the Outfield,50.24,,Disney
1994,Little Women,50.08,,Columbia
1994,When a Man Loves ,50.02,,Touchstone
1994,The River Wild,46.82,45,Universal
1994,D2: The Mighty Ducks,45.61,,Disney
1994,Timecop,44.85,27,Universal
1994,Jungle Book ,44.34,27,Disney
1994,City Slickers II,43.52,,Columbia
1994,Beverly Hills Cop 3,42.62,50,Paramount
1994,The Paper,38.82,,Universal
1994,On Deadly Ground,38.59,50,Warner Brothers
1994,It Could Happen to You,37.94,,TriStar
1994,Junior,36.76,,Universal
1994,Nell,33.68,,20th Century Fox
1994,Street Fighter,33.42,,Universal
1994,The Shadow,32.06,40,Universal
1994,I Love Trouble,30.81,,Touchstone
1994,Major League 2,30.63,,Warner Brothers
1994,Blank Check,30.58,,Disney
1994,Blown Away,30.16,,MGM
1994,In the Army Now,28.86,,Buena Vista
1994,The Shawshank Redemption,28.34,25,Columbia
1994,Guarding Tess,27.05,,TriStar
1994,Quiz Show,24.82,,Hollywood
1994,Renaissance Man,24.33,40,Touchstone
1994,The Professional,19.25,20,Columbia
1994,Blink,16.7,11,New Line
1994,Baby's Day Out,16.67,50,20th Century Fox
1994,The Getaway,16.1,,Universal
1994,The Pagemaster,13.67,,20th Century Fox
1994,Bullets over Broadway,13.38,20,Miramax
1995,Batman Forever,184.031,100,Warner Brothers
1995,Apollo 13,173.756,62,Universal
1995,Pocahontas,141.579,55,Disney
1995,Ace Ventura 2,108.36,30,Warner Brothers
1995,GoldenEye,106.636,80,United Artists
1995,Casper,100.28,55,Universal
1995,Jumanji,100.192,65,Columbia
1995,Seven,100.125,30,New Line
1995,Die Hard 3,100.012,90,20th Century Fox
1995,Crimson Tide,91.4,53,Hollywood
1995,Waterworld,88.25,175,Universal
1995,Dangerous Minds,84.92,,Hollywood
1995,While You Were Sleeping,81.06,17,Hollywood
1995,Congo,81.02,50,Paramount
1995,Father of the Bride 2,76.59,30,Touchstone
1995,Braveheart,75.61,72,20th Century Fox
1995,Get Shorty,72.1,30,MGM
1995,Grumpier Old Men,71.52,25,Warner Brothers
1995,Bridges of Madison ,71.52,35,Warner Brothers
